_id,id,username,followers,text,hashtags,created,,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac6e"")",1.23992E+18,Anteagale,627,RT @WalshFreedom: Tomorrow, I’ll do something I’ve never done before. I’ll vote in the Democratic Primary.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Donald Trump is a unique &amp; dang…,[],"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac6f"")",1.23992E+18,BrianGoodlife,4332,RT @MZHemingway: Another reminder that the Resistance -- which has had the relentless goal of ousting the president, preventing good people…,"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac70"")",1.23992E+18,naams05,87,RT @Mikel_Jollett: LITERALLY EVERY SCIENTIST AND DOCTOR ON EARTH FOR THE PAST TWO MONTHS: ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
“This is bad. Really bad.”,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
TRUMP [TODAY]: “Nob…,[],"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac71"")",1.23992E+18,drdeb2009,342,RT @chrislhayes: A reminder that *right now* the Trump administration is suing to destroy the entire Affordable Care Act. All of it.,[],,,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac72"")",1.23992E+18,ZuraBatiashvil,309,"RT @commondreams: ""We know what Trump's plan is: a pandemic shock doctrine... But the end of this story hasn't been written yet."" —@NaomiAK…",[],,,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac73"")",1.23992E+18,mpg422,36,RT @TVietor08: Trump didn't cause the #coronavirus. But he is entirely responsible for this: ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
40% of Rs now say #COVID19 is a real threat,…,"[{text"":""coronavirus""",indices:[38,50]},"{""text"":""COVID19""","121]}]""","2020-03-17T14:27:16.000Z""""",,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac74"")",1.23992E+18,AmericanCitizun,618,"RT @ProfMJCleveland: There are not ""WHO testing kits"" @JoeBiden.  And Trump didn't refuse to take them.  Those rumors had already been  deb…",[],,,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac75"")",1.23992E+18,YesWeCan4Us,11640,#NAME?, paralyses and destroys… https://t.co/iLbbZgayKY,"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac76"")",1.23992E+18,LeoraRufus,201,"RT @Salon: ""This fall might not unfold in the manner that we have become accustomed", writes @davedaley3. It's time to talk about this now…,"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac77"")",1.23992E+18,salklein,4,RT @carlreiner: Finally, Trump., and our fearless leader who wont have the pleasure of braggin…,[],"2020-03-17T14:27:16.000Z""""",,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac78"")",1.23992E+18,TerryJoe_B,142,@BOBBY25513267 @Yukon_Strong I've been asking President Trump for a drone strike, but so far no reply..,"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac79"")",1.23992E+18,OPTAJADE,20805,RT @echenze: Social distancing 😕,[],,,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac7a"")",1.23992E+18,betteroffpls,3769,RT @taehyungpersxna: can’t fucking believe- oh wait I CAN believe the US president just called the coronavirus “Chinese virus” knowing damn…,[],,,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac7b"")",1.23992E+18,QuakerNana,24138,STOP IT!,,,,,,,,,,,,,,
Humans want their leaders to lead during this #pandemic.,"[{text"":""pandemic""",indices:[55,"64]}]""","2020-03-17T14:27:16.000Z""""",,,,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac7c"")",1.23992E+18,rosevotro,1208,RT @SebGorka: Was that before, or after they launched an illegal surveillance operation against @realDonaldTrump and his team,[],"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,
